# Global Carbon Budget 2020 — National_Carbon_Emissions_2020v1.0.xlsx  — Consumption Emissions
#
# Consumption emissions
# All values in million tonnes of carbon per year. For values in million tonnes of CO2 per year, multiply the values below by 3.664
# 1MtC = 1 million tonne of carbon = 3.664 million tonnes of CO2
# CIte as: Updated from Peters, GP, Minx, JC, Weber, CL and Edenhofer, O 2011. Growth in emission transfers via international trade from 1990 to 2008. Proceedings of the National Academy of Sciences 108, 8903-8908. http://www.pnas.org/content/108/21/8903.abstract
# For an explanation of issues around consumption emissions, see: Peters, GP, Davis, SJ and Andrew, R 2012. A synthesis of carbon in international trade. Biogeosciences, 9, 3247-3276. http://www.biogeosciences.net/9/3247/2012/bg-9-3247-2012.html
# Consumption emissions are computed as in Peters et al. (2011), using 'Territorial Emissions' as reference
# MtC/yr
# Generated with openclimatedata 0.38.1 from the GCB Excel file 'National_Carbon_Emissions_2020v1.0.xlsx' from https://doi.org/10.18160/gcp-2020
# http://openclimatedata.net - https://github.com/openclimatedata/global-carbon-budget
Year,Afghanistan,Albania,Algeria,Andorra,Angola,Anguilla,Antigua and Barbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,"Bonaire, Saint Eustatius and Saba",Bosnia and Herzegovina,Botswana,Brazil,British Virgin Islands,Brunei Darussalam,Bulgaria,Burkina Faso,Burundi,Cambodia,Canada,Cape Verde,Central African Republic,Chad,Chile,China,Colombia,Comoros,Congo,Cook Islands,Costa Rica,Côte d'Ivoire,Croatia,Cuba,Curaçao,Cyprus,Czech Republic,North Korea,Democratic Republic of the Congo,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Estonia,Ethiopia,Faeroe Islands,Micronesia (Federated States of),Fiji,Finland,France,French Guiana,French Polynesia,Gabon,Gambia,Georgia,Germany,Ghana,Greece,Greenland,Grenada,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Honduras,Hong Kong,Hungary,Iceland,India,Indonesia,Iraq,Ireland,Iran,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kiribati,Kosovo,Kuwait,Kyrgyzstan,Laos,Latvia,Lebanon,Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Luxembourg,Macao,North Macedonia,Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Martinique,Mauritania,Mauritius,Mexico,Mongolia,Montenegro,Montserrat,Morocco,Mozambique,Myanmar,Namibia,Nauru,Nepal,Netherlands,New Caledonia,New Zealand,Nicaragua,Niger,Nigeria,Niue,Norway,Occupied Palestinian Territory,Oman,Pakistan,Palau,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Bolivia,Poland,Portugal,Qatar,Cameroon,South Korea,Moldova,South Sudan,Sudan,Réunion,Romania,Russian Federation,Rwanda,Saint Helena,Saint Lucia,Sint Maarten (Dutch part),Samoa,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Slovakia,Slovenia,Solomon Islands,Somalia,South Africa,Spain,Sri Lanka,Saint Kitts and Nevis,Saint Pierre and Miquelon,Saint Vincent and the Grenadines,Suriname,Swaziland,Sweden,Switzerland,Syria,Taiwan,Tajikistan,Thailand,Timor-Leste,Togo,Tonga,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Turks and Caicos Islands,Tuvalu,Uganda,Ukraine,United Arab Emirates,United Kingdom,Tanzania,USA,Uruguay,Uzbekistan,Vanuatu,Venezuela,Viet Nam,Wallis and Futuna Islands,Yemen,Zambia,Zimbabwe,KP Annex B,Non KP Annex B,OECD,Non-OECD,EU27,Africa,Asia,Central America,Europe,Middle East,North America,Oceania,South America,Bunkers,Statistical Difference,World
1992,,0.775639577,,,,,,34.82080434,1.012148884,,67.8477812,25.00214941,3.795583858,,3.09419801,5.607286527,,12.04339771,46.96045829,,0.322412403,,,,,0.758,65.56181304,,1.191077082,11.44011923,0.237659064,,0.55799652,136.7319538,,,,9.124850702,684.5307396,18.53929663,,,,1.555316372,1.588094401,4.946420205,,,2.221053434,,,,18.7518469,,,3.033621769,5.680044529,23.8534664,1.345198199,,,6.490294562,1.098687494,,,,27.93593577,149.5131665,,,,,2.586356227,327.1112004,1.305548855,28.35786751,,,2.166605738,0.289,,,,1.008649898,27.40062595,25.1853615,,187.5426256,51.42014372,,11.57973508,59.87893675,15.86798273,165.8466809,1.923625257,389.2041448,4.598280657,36.32188595,2.262519855,,,9.133337726,4.73477198,0.257517336,4.877668831,,,,,,13.85800844,3.338471701,,,0.383150353,0.420189634,22.13875414,,,0.935282262,,,,0.818372882,94.51886032,2.521447015,,,9.923992262,0.800655017,,0.314,,0.492315929,64.89339803,,7.752079119,0.84265221,,11.98590803,,,,3.721885756,21.09800436,,0.955799458,,1.174075581,6.553901994,20.65277317,1.784136045,94.28129817,16.37602864,6.337795889,0.887360718,104.0528202,,,,,32.31671008,215.8041553,0.130717092,,,,,,71.41899215,1.022505274,,,,23.02271341,15.18555877,5.235095029,,,60.80511074,79.79950715,2.15009287,,,,,,25.40546071,25.76970963,,59.45109128,,42.84467519,,0.380962869,,3.813619073,5.845075907,67.2504275,,,,0.438600053,120.8259702,17.43296718,188.908344,0.985079001,1404.252651,1.670567628,,,25.94504176,6.268526258,,,0.822368945,4.869257644,3761.78523,2000.929326,3648.53112,2114.183437,1207.844777,132.5486949,1700.856118,16.64508798,1771.971994,258.7348044,1635.503465,75.59986031,170.8545323,151.8130766,2.01794e-12,6125.803971
1993,,0.710271815,,,,,,33.57426553,0.501149099,,68.17571543,23.95406886,6.65502821,,3.804438825,5.695799009,,10.15728978,44.32411346,,0.376487808,,,,,0.872,67.75463687,,1.270092671,12.2571623,0.238187492,,0.547612323,133.3092015,,,,9.756297812,731.4941492,19.07735089,,,,1.563361397,1.791041874,4.957150437,,,2.030956215,,,,18.14874725,,,3.208453334,6.41068744,25.68363227,1.463455881,,,4.761986604,1.105103409,,,,23.0111296,138.3435473,,,,,2.203160084,314.9365775,1.476116379,26.98805046,,,2.030283033,0.297,,,,1.009408482,26.33676051,23.24775303,,189.4637153,54.15834614,,10.98953586,58.27195828,15.93554583,151.6668553,2.111988362,381.4638165,4.413937506,47.01586024,2.354055727,,,13.12479568,3.4537192,0.264786323,3.876518437,,,,,,8.524353379,3.376857548,,,0.40195149,0.468856058,23.69525031,,,1.007503416,,,,0.845535685,96.1347728,1.671325377,,,9.754917997,0.883422395,,0.379,,0.546856694,59.76298457,,7.759801568,0.797368857,,11.96344692,,,,4.168310455,22.40863789,,0.924046919,,1.218715158,7.243076619,19.42718931,2.058176257,91.65998036,15.9388902,7.389095955,0.935028163,108.5163206,,,,,30.34835292,305.7777286,0.131661727,,,,,,79.33136364,1.053316493,,,,23.292701,14.08244054,4.882895711,,,62.86169166,74.31418487,2.162928318,,,,,,23.5989572,23.58865249,,56.67892089,,42.18385026,,0.394629326,,3.506069869,5.434909197,62.60675238,,,,0.486065134,102.4384186,19.01326602,179.4549018,1.057032432,1421.069466,1.535774045,,,29.71596055,6.800813228,,,0.880124001,4.669254985,3750.990797,2086.299077,3575.760801,2261.529072,1130.991553,136.7944686,1757.908789,16.61443613,1753.118817,268.0594646,1650.513441,75.935517,178.3449412,152.3948861,-1.87583e-12,6190.665213
1994,,0.631362955,,,,,,34.61675038,0.488525609,,70.45446366,23.89228391,5.263044139,,3.921685542,6.280480775,,7.846596158,44.14071107,,0.430943371,,,,,0.827,71.54614296,,1.331205077,11.28536859,0.245312578,,0.581186947,134.9139163,,,,10.40942187,728.8764267,20.10053105,,,,1.872313931,1.451269521,4.818539545,,,2.041399095,,,,18.63953607,,,3.414469742,4.124587743,24.33551994,1.630621692,,,4.443158259,0.90979546,,,,21.22197302,135.6536795,,,,,1.341527761,307.8285381,1.695136492,27.00063818,,,2.310774556,0.307,,,,1.070202573,33.35026737,21.31257214,,199.1517333,55.3746103,,11.18029145,63.97557677,16.7592491,147.0555175,2.068462419,400.5269171,4.826930781,40.87081686,2.443973665,,,14.38539771,2.73185203,0.290600548,3.649427256,,,,,,7.55492366,3.156093944,,,0.463242415,0.479914868,24.03504599,,,0.985728882,,,,0.843991694,99.41315418,1.607985131,,,9.950465203,0.896130034,,0.429,,0.608150994,58.64387066,,7.972370537,0.849877068,,10.08225394,,,,4.643230047,24.1992054,,0.973075998,,1.381340285,7.339479983,20.15345227,2.195353702,88.19938374,16.17090138,7.396900729,0.914278631,113.8749993,,,,,28.53543063,321.9734842,0.125825795,,,,,,77.96905343,1.098408755,,,,25.19235897,12.3350668,4.655894007,,,67.4873239,75.248227,2.358242285,,,,,,23.38962962,23.40358504,,56.61131229,,43.51638275,,0.399184096,,3.338781626,4.866075949,56.48847918,,,,0.468885263,75.42194804,21.26961064,177.8683785,0.99077398,1448.900614,1.468833779,,,29.7982635,7.698412666,,,0.892012983,4.853194102,3761.447333,2116.738378,3605.153515,2273.032196,1103.038784,137.8869126,1796.314743,17.5285796,1710.184139,271.6361139,1683.227684,78.4268342,182.9807052,158.9538759,2.16005e-12,6234.656535
1995,,0.674585884,,,,,,35.38243797,0.742620412,,72.01737217,24.99783792,6.377904223,,3.884979885,7.142663062,,9.169132336,45.31754836,,0.457911657,,,,,0.831,77.85174933,,1.299186897,12.6480291,0.252003157,,0.568884036,137.1692579,,,,11.23174383,794.5143575,18.34838792,,,,1.829071057,1.933098112,5.249025635,,,2.096584284,,,,18.46345136,,,4.197574997,6.187088831,26.92244113,1.785224811,,,4.235468258,1.001239754,,,,20.39821498,138.5903155,,,,,0.615897293,309.9102711,1.735195774,27.35116087,,,2.449809057,0.318,,,,1.188619231,34.86900728,20.37726663,,208.937413,56.8264152,,11.43038448,68.15671128,17.70722712,152.3880921,2.369495742,409.3215079,4.926889734,37.2694026,2.780043554,,,14.14671731,2.697795644,0.324131208,3.392978276,,,,,,7.417869275,2.502811002,,,0.473662489,0.494934655,27.29643144,,,0.996752871,,,,0.914599902,88.05581016,1.637121423,,,10.19219206,0.959926939,,0.442,,0.793110135,59.57405814,,8.314943407,0.906759473,,9.212069661,,,,4.769482932,24.11672261,,0.951394838,,1.52116472,7.68086483,21.56596401,2.462350395,87.56066681,17.27060952,7.720942966,0.997746655,121.3579628,,,,,28.86419968,319.6612085,0.123818875,,,,,,60.75604665,1.026396921,,,,24.77199277,12.8735314,5.024703072,,,70.98917693,78.45817016,2.519299062,,,,,,23.12689604,24.41521152,,58.32307128,,47.75897494,,0.457072047,,3.046442608,4.917190021,60.64705756,,,,0.536498444,60.52757838,21.16526316,176.6669578,1.078260581,1465.372968,1.642180058,,,31.76008248,8.418748393,,,0.884145327,4.412085217,3790.890565,2212.754413,3652.129478,2351.515501,1120.516897,144.3427099,1900.066585,18.72439182,1711.631571,263.8813186,1690.598036,80.33231557,194.0680504,167.8358711,-2.89901e-12,6367.9456
1996,,0.784151145,,,,,,37.2907989,0.792283901,,73.7572115,27.06352727,7.795438573,,3.982390592,7.392934498,,12.80420735,44.97982187,,0.47373547,,,,,0.752,85.69970405,,1.508798637,13.16994225,0.266597507,,0.640552233,139.7645052,,,,13.17390812,829.5226353,18.39922848,,,,1.786209908,1.818533997,5.462601368,,,2.472525742,,,,19.85731669,,,4.601133777,6.345190076,27.19158987,1.655758437,,,4.521149782,1.08870822,,,,20.29194084,139.7682229,,,,,2.241907008,305.0765402,2.050222918,26.8945269,,,2.346234209,0.337,,,,1.283560412,33.93983423,19.0721217,,222.9672002,63.22456382,,13.42868771,71.50777228,18.27075537,143.4870969,1.978769963,406.9500732,4.078489252,33.1310006,2.563420076,,,12.0076691,2.311904509,0.338534717,3.842597792,,,,,,6.047620268,2.516350339,,,0.41138987,0.57044139,27.74291417,,,1.031854554,,,,1.009485228,93.21076797,2.056476374,,,9.250108541,0.652596283,,0.47,,0.800120197,58.91983926,,8.779939549,0.924997846,,9.975613971,,,,4.572125982,26.92115758,,1.104520738,,1.437658165,7.522825708,21.4277776,2.480893801,89.59311795,16.550452,7.862004464,1.07525757,130.3285465,,,,,27.84397669,342.4755498,0.126871724,,,,,,66.28063247,1.200528721,,,,27.95425357,13.16386422,4.864341502,,,69.09116117,73.96569564,2.763362577,,,,,,24.39419147,29.24765711,,54.28175374,,50.12670749,,0.451132155,,3.905198951,5.097731923,57.26553567,,,,0.466729788,76.69835079,21.82805852,184.8671037,1.033479952,1511.595644,1.989212188,,,27.0605156,10.15101685,,,0.876104965,4.499893046,3878.911579,2302.107269,3715.620453,2465.398394,1108.279924,142.8003344,1967.311748,19.58638424,1755.156944,267.6554337,1744.570917,82.53715105,201.3999351,182.4719006,-5.11591e-13,6564.093014
1997,,0.586663969,,,,,,39.18790487,1.076910921,,75.87382483,25.58428752,7.041647512,,3.906923901,7.899172388,,12.16219675,46.3548334,,0.514253977,,,,,0.764,90.70527268,,1.031235277,12.623749,0.30498912,,0.624785711,148.4823302,,,,14.9177522,811.4873754,19.85665909,,,,1.938479707,1.75944856,5.774392039,,,2.246603083,,,,18.37139619,,,4.945181742,5.28833248,30.36722903,1.970950186,,,4.271804985,1.201075267,,,,19.9861025,135.9673687,,,,,1.906899095,293.1963146,2.415434002,27.34076592,,,2.736566513,0.352,,,,1.459317188,38.1241062,18.80049016,,233.1276757,67.83983419,,13.28107613,72.77846237,18.94155147,145.3368041,2.158564035,399.9884702,4.723651952,31.05879809,2.490784926,,,13.09225363,1.495789646,0.333799574,3.721967163,,,,,,5.807201018,2.33982163,,,0.49112034,0.570049901,30.8432789,,,0.966296542,,,,1.005026163,103.6057518,1.671981012,,,8.980292573,0.531143914,,0.483,,0.872556861,57.36156987,,9.263153633,1.018881606,,12.18127653,,,,4.705737452,26.58230109,,1.166661721,,1.593804585,8.394863743,23.63287806,2.904643283,87.56371331,17.68815737,8.576425682,1.095628667,132.9692556,,,,,25.16806657,321.3413874,0.131440267,,,,,,56.11553777,1.101401302,,,,30.7603411,12.84975161,4.987770477,,,72.91196529,75.49873772,2.809923614,,,,,,22.98004441,25.9919527,,59.2162035,,47.1062957,,0.367907039,,4.055481466,5.278165833,60.95978908,,,,0.507645524,74.2808083,22.16052168,183.9365276,1.163115422,1540.497316,2.178479514,,,32.48343117,12.29082389,,,1.133100433,4.227990982,3862.511957,2348.622949,3745.188486,2465.94642,1086.069086,152.3294851,1971.792339,21.45008416,1704.368623,265.960855,1792.585398,85.13697847,217.5111436,192.1210152,-2.87059e-12,6602.385643
1998,,0.673518489,,,,,,40.06498577,1.082758669,,81.03152489,26.53695151,8.235887269,,4.406162035,7.87753446,,19.27967979,49.33962104,,0.563457199,,,,,0.912,92.8980842,,1.422081919,12.47824574,0.459109663,,0.775219043,149.7485491,,,,15.32354428,784.8137805,19.87967584,,,,2.240931487,2.306131922,5.740472285,,,2.67407931,,,,17.86253086,,,5.400561068,6.70658665,34.99746413,2.225686634,,,4.714845694,1.410388884,,,,19.4826365,141.8489344,,,,,2.061307799,294.5336803,2.375179651,29.40305866,,,3.239077775,0.372,,,,1.683943424,32.06396558,19.14789934,,237.5893497,38.32063847,,13.31905046,84.19532752,19.42936371,148.4571909,2.702643539,374.0908164,4.872854295,32.24964219,3.551983661,,,14.59695142,2.719337446,0.348641266,3.688080152,,,,,,6.0127252,2.100183686,,,0.620436775,0.547436313,21.85491248,,,1.265123613,,,,0.993216533,110.2621061,1.763666006,,,9.726875926,0.786203682,,0.496,,1.143918279,58.77235964,,8.492419022,1.114895345,,11.64670062,,,,5.085869158,26.39606738,,1.442046675,,1.560276476,8.619483802,21.29670121,2.990418291,80.48127119,18.99579336,7.693500792,1.083696585,95.82860539,,,,,24.52788407,287.3196299,0.131384903,,,,,,59.58001903,1.147286259,,,,26.10959437,13.18396672,5.122815794,,,70.31739014,79.89907662,3.01895989,,,,,,23.20980123,31.4543947,,58.83068403,,35.48521422,,0.510625516,,4.127803889,5.036062358,61.92640438,,,,0.694296978,66.45519454,25.50899031,190.6108561,1.143968358,1585.905929,2.312978445,,,42.4006957,12.75248782,,,1.068310947,3.761962033,3873.968389,2289.084794,3770.516181,2392.537002,1102.798278,156.659569,1828.131772,24.17758984,1698.591552,287.2954426,1845.916584,89.52394391,232.7567295,203.729717,1.13687e-13,6580.816513
1999,,1.000985931,,,,,,40.65548239,1.399070283,,80.81438948,26.10300889,7.295674171,,2.66714778,8.179668707,,18.19322382,50.51482428,,0.572825351,,,,,0.862,88.17436865,,0.846150679,11.23672546,0.544843349,,0.737156629,149.4398134,,,,16.4102772,795.3247964,15.85386047,,,,2.962881031,1.703236379,6.026884734,,,2.246083942,,,,18.93455815,,,5.707357151,5.935498331,36.1549902,2.157985128,,,5.414404127,1.394807859,,,,20.1716241,141.765236,,,,,1.639275846,296.8292914,2.549384261,28.27746641,,,3.287411039,0.391,,,,1.849003274,28.49399708,19.44469313,,261.2227062,57.70016126,,14.81394627,90.08063777,17.29378017,152.9432733,2.63707251,397.6698505,4.590579502,28.03018626,3.113797134,,,11.95921743,1.533730124,0.336857856,3.406236677,,,,,,5.33786046,2.349748405,,,0.697551199,0.537763743,26.00777186,,,1.131103182,,,,1.088326318,112.3838759,1.815242772,,,10.60805209,1.045412617,,0.454,,1.716399863,39.45297033,,9.332550969,1.19557746,,9.568836349,,,,5.077268599,29.08949686,,1.585003651,,1.594236179,9.080626185,22.9479417,2.998977044,83.87766109,20.10413386,4.508647407,0.887826289,116.1590903,,,,,21.80496573,275.5453227,0.137127421,,,,,,51.18577327,1.222554274,,,,27.69563932,12.2684307,4.924293747,,,77.18072631,85.83649875,3.797652269,,,,,,21.99680298,28.79412549,,61.1870185,,40.38107871,,0.522413173,,3.726328449,5.314055296,62.57941927,,,,0.715135048,64.38890366,22.1319762,187.1017085,1.197756074,1632.621586,2.712253064,,,31.91734686,11.7598546,,,0.872822684,3.827090619,3919.54379,2345.932219,3856.623333,2408.852675,1097.212726,163.164334,1932.966469,25.10861969,1672.236996,272.0744474,1894.445275,90.14694045,215.3329264,210.3667223,-1.53477e-12,6667.861123
2000,,1.038334262,,,,,,38.17968285,1.095771497,,79.15005151,26.36874801,7.008129824,,3.441616551,8.955000481,,17.84357064,51.55675215,,0.696290665,,,,,2.096893768,91.92248639,,0.850697872,12.13311437,0.403433483,,0.75868393,154.9557578,,,,16.37964725,809.6173411,16.09175063,,,,2.648054153,1.535040824,5.898827383,,,2.690384679,,,,17.80155939,,,6.444807162,5.693823328,37.68410126,2.246268109,,,5.020469836,1.363625264,,,,20.32217922,144.1226105,,,,,1.522123668,298.2185863,2.43612992,29.73565231,,,3.490541753,0.407,,,,2.089830113,30.07913026,19.19521768,,258.7112706,63.09907934,,15.25277221,87.08045697,18.05320233,159.3728945,2.041436546,417.5234746,4.582203847,30.27539161,2.766350622,,,8.357786498,1.313184208,0.529801252,3.422269869,,,,,,4.944063129,2.108578024,,,0.616140125,0.48228425,30.4210201,,,1.280545402,,,,1.203488975,118.8482654,1.809258252,,,11.21521637,1.139859877,,1.329796018,,1.043905412,39.13263363,,9.016323378,1.263851191,,12.76103652,,,,5.199078352,30.92648097,,1.51521191,,1.452806959,9.410873258,24.89696124,3.028697337,80.48251121,21.28609354,4.460370836,1.094763188,132.9012266,,,,,22.8257503,272.9760287,0.141842716,,,,,,56.53635116,1.323166498,,,,32.63476989,12.112338,5.236210088,,,75.89967999,90.10722725,4.128696536,,,,,,22.48654211,31.17812922,,66.4861153,,42.45347319,,0.438766555,,3.460999915,6.204033564,72.98830685,,,,0.610919456,57.73761693,28.21679779,189.9803466,1.348297291,1704.015161,2.311842361,,,23.95208961,13.17284431,,,1.056016509,3.168949209,4025.67649,2428.355453,4004.909468,2449.122475,1113.114531,169.4231229,2012.213832,25.20100085,1683.868557,288.9161712,1977.819184,88.16637489,208.4237,213.0625486,-2.18847e-12,6855.631698
2001,,1.114200235,,,,,,35.19049414,1.124272169,,80.79016416,27.03232922,7.112510783,,3.040815801,11.0383438,,16.74389691,51.01201635,,0.777535135,,,,,1.905138717,90.76698765,,0.828710636,12.50127897,0.451255944,,0.914601067,149.3644329,,,,14.90251599,849.1472299,16.11457162,,,,2.815967054,1.730409806,6.620132717,,,2.603120859,,,,17.79620673,,,6.40440244,6.969668264,33.0395014,2.425354555,,,4.875155967,1.605972022,,,,21.24043332,143.1746417,,,,,1.474762356,296.7312496,2.603018506,29.94314487,,,3.756072813,0.426,,,,2.278787183,31.3941293,19.76523078,,265.6456962,69.45205975,,15.47844564,95.00309814,19.11971665,156.0721404,2.812927531,405.101847,5.417253887,32.03457014,2.841466565,,,10.68354037,1.087841844,0.440653513,3.374596312,,,,,,4.752620245,2.282217375,,,0.628927889,0.47121663,31.75388412,,,1.286812383,,,,1.17006955,121.7550083,1.880308033,,,11.89297534,1.082781058,,1.503373132,,1.088757,38.17207437,,9.254130276,1.310844123,,17.60300052,,,,5.197407291,30.65815802,,1.586581165,,1.455623639,8.429613958,24.12428768,2.396344487,79.1025558,20.99406155,5.473930596,1.240278353,127.5870107,,,,,24.25965994,306.1694981,0.142316068,,,,,,60.09587429,1.446722263,,,,27.51030095,12.5140072,5.083605058,,,71.18012629,91.25213696,4.257870184,,,,,,21.33745785,28.1983618,,59.07494187,,43.93619549,,0.473348933,,4.163990149,5.838537502,58.19323899,,,,0.748449478,68.94914563,28.61015428,192.4825554,1.442367285,1680.719562,2.088094589,,,32.85473315,14.80363235,,,1.066185903,2.98515083,4026.397096,2477.728496,3941.327655,2562.797938,1109.257332,166.2961251,2043.472575,27.55492701,1722.91499,290.8350303,1951.839003,90.04429443,211.1686475,212.0413715,-5.40012e-13,6913.808578
2002,,1.379537289,,,,,,22.43391105,1.012448828,,86.51186672,27.12702135,8.065907613,,3.314300292,10.25157067,,17.46161503,54.10452224,,0.882494948,,,,,0.880936109,86.23445795,,0.839859201,11.84975577,0.458450235,,0.707616116,155.6009684,,,,16.19559426,914.1735183,17.22038068,,,,4.191877724,1.394180432,7.013396746,,,3.122511507,,,,18.05902212,,,6.1864554,8.114382915,33.5160525,2.490602502,,,5.188538757,1.615608524,,,,21.02912533,143.2555235,,,,,1.359832488,288.6657773,2.660453023,30.64635657,,,4.263169703,0.443,,,,2.626211716,27.95958563,20.86743708,,270.9569514,76.74522977,,15.73287859,93.01199547,18.1171011,160.6621744,2.247182493,408.2104207,5.932357318,34.38142801,1.989881875,,,11.46055717,1.260584709,0.499347186,3.188743711,,,,,,5.656932806,2.466124373,,,0.456363018,0.553427423,34.74611769,,,1.080429242,,,,1.187419073,122.6416144,2.010028684,,,13.10225693,1.189971801,,0.407436422,,1.040722568,41.37553444,,9.688552337,1.361148116,,19.65712583,,,,6.38234848,33.04618822,,1.6328826,,1.316996417,8.982585695,23.49390214,2.972229126,77.11091207,21.94456742,6.492871646,1.245603062,138.7901598,,,,,24.4946485,307.8361959,0.141786026,,,,,,64.85181862,1.849168371,,,,27.68673468,12.31104619,5.123016229,,,67.10586321,98.74000822,4.771309278,,,,,,22.02902666,26.30477232,,64.05481996,,44.01586511,,0.522570659,,4.885190364,6.029475311,64.4192122,,,,0.667897978,68.10560057,26.64320189,190.6093229,1.580586887,1713.498618,1.730041107,,,28.56621496,17.31801757,,,1.084706895,3.33465255,4085.008408,2573.108101,4017.026816,2641.089693,1122.845031,163.9573691,2147.398166,29.88472062,1734.542075,300.6257642,1991.741201,96.20041906,193.7667942,216.9804209,4.68958e-12,7071.828102
2003,,1.476161894,,,,,,29.40833372,1.156939864,,90.36595721,27.52086103,9.149991529,,3.077736144,12.58932126,,16.84212169,53.56540555,,1.036439059,,,,,3.340980223,83.03709549,,1.223041792,12.65115535,0.522039061,,1.277654224,149.6726168,,,,15.15289865,1025.243944,16.25037738,,,,3.161504054,1.87728176,7.527087167,,,2.751541603,,,,18.51436617,,,5.701570688,8.156320024,37.85623273,2.563565621,,,5.607037828,1.845042633,,,,23.70158844,143.8204084,,,,,1.567973291,290.3991596,2.953663103,26.7192647,,,3.735995305,0.464,,,,2.501924099,26.22394155,22.25638843,,285.4286177,80.21522686,,17.33334407,110.3074711,20.98976475,160.3528609,2.896026942,411.5521161,5.876772662,36.94804406,2.587881712,,,14.11082741,1.650534878,0.487956167,3.960033083,,,,,,5.460637238,2.998294787,,,0.804885667,0.527785991,36.17141466,,,1.436136385,,,,1.284748366,128.6539665,2.251276656,,,11.55382177,1.185837446,,1.13257058,,1.395690483,51.46936925,,10.27299148,1.55280797,,21.2353666,,12.29311019,,7.827306431,33.05211154,,0.051045699,,1.436880341,8.029007063,24.84820887,2.748818605,76.93410561,21.04954034,6.281032707,1.440424688,140.0712214,,,,,25.77008689,327.1313008,0.138689137,,,,,,83.38604185,1.672207561,,,,29.44984485,11.96187971,5.111817309,,,76.3469489,98.78618078,4.606056889,,,,,,23.54285897,29.87231386,,66.62510271,,50.13890762,,0.714422547,,5.411434015,5.642640455,68.77073789,,,,0.786862987,62.07352244,35.24132999,194.7743769,1.718511945,1734.937593,1.783614836,,,37.273178,23.01946641,,,1.072783544,2.758819691,4159.95963,2815.174725,4089.024397,2886.109959,1141.20141,182.5008882,2306.344605,27.57587439,1785.664317,355.869021,2013.264176,100.6389487,203.2765241,226.483137,-1.79057e-12,7417.078465
2004,,1.424318551,,,,,,34.46936981,1.178576827,,93.99928907,28.30510985,9.841599407,,3.014805136,13.01029593,,17.49616209,59.51152376,,0.97109552,,,,,2.47181246,86.38853002,,1.154610832,12.43814657,0.631978508,,1.321936308,154.2629288,,,,15.87904185,1159.17642,15.80737644,,,,3.304009804,2.036533886,7.428621514,,,2.506871322,,,,18.86955651,,,4.84372513,8.607285749,35.56685643,2.469200309,,,4.993546875,1.895020239,,,,24.51761711,150.8463592,,,,,1.8337966,291.7248054,3.247721334,26.11848239,,,3.929861721,0.481,,,,2.49855363,23.64441896,21.30019511,,303.4994743,84.76487687,,18.28799184,115.9142073,20.03234265,166.9691332,3.100850583,410.971296,6.67044491,38.09094526,2.90488236,,,14.60523866,1.81711354,0.513723798,3.872769666,,,,,,5.378277773,3.588873743,,,0.665319505,0.506150753,38.68102437,,,0.9728999,,,,1.340784512,126.8000521,2.280580252,,,13.07413232,1.136874404,,1.455175877,,1.18810296,51.7316848,,10.76268532,1.520566334,,23.03807034,,12.02079022,,6.517188772,37.0120426,,0.220987749,,1.521943364,8.960650071,24.52665949,2.624597818,78.52737653,22.30784828,6.130283365,1.391778056,143.4739157,,,,,26.44474707,330.7241887,0.140592249,,,,,,96.77224568,1.739904893,,,,30.86368529,12.01765773,5.097298959,,,88.04857351,106.8100167,4.924184464,,,,,,23.94823467,30.10671486,,74.74878506,,56.07727086,,0.723469436,,5.1091373,5.86889948,75.48039553,,,,0.816950159,58.81912786,39.88845555,200.9589128,1.857084187,1787.15283,2.085120267,,,30.13551599,25.71471747,,,1.013347021,2.620710796,4260.814638,3042.685711,4197.374507,3106.125843,1174.515646,195.6447182,2490.310054,26.99689256,1826.065861,385.0256076,2068.21581,104.7619744,206.4794314,246.0045003,-2.55795e-12,7770.317186
